annotation_raw,annotation_normalized,protein_count,percent,current_status,candidate_level1,candidate_level2,candidate_level3,reason_not_assigned,review_priority,needs_multimodal_evidence,promotion_evidence,family_consistency,embedding_cluster_id,structure_support,neighborhood_support,suggested_next_action,reviewer,review_date,notes,status_rank
head-tail joining,head-tail joining,44,0.0017,defer,Virion_morphogenesis,,,currently insufficient evidence or unstable boundary for L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
virulence associated,virulence associated,315,0.0124,defer,,,,associated-only wording; insufficient evidence for stable L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,review with context and structure before assigning any L3,,,weakly resolved mobile / host-associated term; no stable v1.1 node,2
tail protein with endopeptidase activity,tail protein with endopeptidase activity,82,0.0032,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
straight fibre tail protein,straight fibre tail protein,386,0.0152,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
CRISPR/Cas system associated,CRISPR/Cas system associated,396,0.0156,defer,Host_interface_entry,Host_defense_counterdefense,,associated-only wording; insufficient evidence for stable L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,review with context and structure before assigning any L3,,,Associated-only wording is too weak for Anti_CRISPR; kept under Host_defense_counterdefense but deferred.,2
ribosome associated inhibitor A; zinc finger domain,ribosome associated inhibitor A; zinc finger domain,367,0.0144,defer,,,,associated-only wording; insufficient evidence for stable L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,review with context and structure before assigning any L3,,,no stable v1.1 mapping rule matched; manual review still needed,2
collar tail protein for L-shaped tail fibre attachment,collar tail protein for L-shaped tail fibre attachment,200,0.0079,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
tail needle knob,tail needle knob,217,0.0085,defer,Virion_morphogenesis,,,currently insufficient evidence or unstable boundary for L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
tail associated cell-wall hydrolase,tail associated cell-wall hydrolase,214,0.0084,defer,Virion_morphogenesis,,,associated-only wording; insufficient evidence for stable L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,review with context and structure before assigning any L3,,,no stable v1.1 mapping rule matched; manual review still needed,2
nucloid associated Lsr2-like,nucloid associated Lsr2-like,218,0.0086,defer,,,,associated-only wording; insufficient evidence for stable L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,review with context and structure before assigning any L3,,,no stable v1.1 mapping rule matched; manual review still needed,2
tail needle protein,tail needle protein,113,0.0044,defer,Virion_morphogenesis,,,currently insufficient evidence or unstable boundary for L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
minor tail protein,minor tail protein,38467,1.5127,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
tail tip protein Tal,tail tip protein Tal,23,0.0009,defer,Virion_morphogenesis,,,currently insufficient evidence or unstable boundary for L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
exonuclease recombination-associated,exonuclease recombination-associated,340,0.0134,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
tail protease,tail protease,238,0.0094,defer,Host_cell_exit,Host_cell_exit_broad,,currently insufficient evidence or unstable boundary for L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold,2
distal tail protein Dit,distal tail protein Dit,2179,0.0857,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
tail chaperone protein,tail chaperone protein,380,0.0149,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
tail assembly protein,tail assembly protein,2340,0.092,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
collagen like minor tail,collagen like minor tail,237,0.0093,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
tail protein and host specificity,tail protein and host specificity,25,0.001,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
tail protein XkdN-like,tail protein XkdN-like,63,0.0025,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
tail appendage,tail appendage,62,0.0024,defer,Virion_morphogenesis,,,currently insufficient evidence or unstable boundary for L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
tail protein,tail protein,20828,0.819,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
tail protein with endopeptidase domain,tail protein with endopeptidase domain,213,0.0084,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
tail protein with peptidase activity,tail protein with peptidase activity,8,0.0003,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
tail length tape measure protein chaperone,tail length tape measure protein chaperone,5,0.0002,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
nucleoid associated protein,nucleoid associated protein,3,0.0001,defer,,,,associated-only wording; insufficient evidence for stable L3 assignment,medium,yes,structure_support; neighborhood_support; embedding_cluster,,,,,review with context and structure before assigning any L3,,,no stable v1.1 mapping rule matched; manual review still needed,2
Gpu-like tail protein,Gpu-like tail protein,2,0.0001,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
endonuclease,endonuclease,7295,0.2869,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
DNA binding protein,DNA binding protein,8276,0.3254,parent_only,Gene_expression_reprogramming,Transcription_factor,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad transcription-control term; kept as parent-only scaffold. Consider subtype_hint = generic_tf / antitermination / sigma_reprogramming during training analysis.,1
head morphogenesis,head morphogenesis,4651,0.1829,parent_only,Virion_morphogenesis,Capsid,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
"transcriptional regulator, D5-like","transcriptional regulator, D5-like",766,0.0301,parent_only,Gene_expression_reprogramming,Transcription_factor,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad transcription-control term; kept as parent-only scaffold. Consider subtype_hint = generic_tf / antitermination / sigma_reprogramming during training analysis.,1
ATP-dependent DNA ligase,ATP-dependent DNA ligase,4588,0.1804,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
endonuclease V N-glycosylase UV repair enzyme,endonuclease V N-glycosylase UV repair enzyme,775,0.0305,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
structural protein with Ig domain,structural protein with Ig domain,776,0.0305,parent_only,Virion_morphogenesis,Capsid,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
endonuclease VII,endonuclease VII,4449,0.175,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
Hoc-like head decoration,Hoc-like head decoration,2151,0.0846,parent_only,Virion_morphogenesis,Capsid,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
glucosyltransferase,glucosyltransferase,800,0.0315,parent_only,Genome_maintenance_propagation,DNA_modification,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
HNH endonuclease,HNH endonuclease,26109,1.0267,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
virion structural protein,virion structural protein,31771,1.2494,parent_only,Virion_morphogenesis,Capsid,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
nucleotide kinase,nucleotide kinase,2115,0.0832,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
RuvC-like Holliday junction resolvase,RuvC-like Holliday junction resolvase,2101,0.0826,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
SbcC-like subunit of palindrome specific endonuclease,SbcC-like subunit of palindrome specific endonuclease,3390,0.1333,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
homing endonuclease,homing endonuclease,4689,0.1844,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
porphyrin biosynthesis,porphyrin biosynthesis,779,0.0306,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
DNA repair protein,DNA repair protein,647,0.0254,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
DenB-like DNA endonuclease IV,DenB-like DNA endonuclease IV,801,0.0315,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
DNA endonuclease V,DNA endonuclease V,642,0.0252,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
DnaD-like helicase loader,DnaD-like helicase loader,637,0.025,parent_only,Genome_maintenance_propagation,DNA_replication,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
serine-threonine kinase,serine-threonine kinase,616,0.0242,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
acetyltransferase,acetyltransferase,756,0.0297,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
RecE-like recombination exonuclease,RecE-like recombination exonuclease,734,0.0289,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
queuine tRNA-ribosyltransferase,queuine tRNA-ribosyltransferase,734,0.0289,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
metallo-phosphoesterase,metallo-phosphoesterase,2521,0.0991,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
cef modifier of supressor tRNAs,cef modifier of supressor tRNAs,801,0.0315,parent_only,Gene_expression_reprogramming,Host_takeover_interference,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad host takeover / host physiology interference term; retained as parent-only support bucket in v1.0.2.,1
endoribonuclease,endoribonuclease,808,0.0318,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
inhibitor of host Lon protease,inhibitor of host Lon protease,691,0.0272,parent_only,Gene_expression_reprogramming,Host_takeover_interference,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad host takeover / host physiology interference term; retained as parent-only support bucket in v1.0.2.,1
dCMP deaminase,dCMP deaminase,2855,0.1123,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
DNA ligase,DNA ligase,701,0.0276,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
Mu Gam-like end protection,Mu Gam-like end protection,706,0.0278,parent_only,Genome_maintenance_propagation,DNA_replication,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
spackle periplasmic,spackle periplasmic,708,0.0278,parent_only,Gene_expression_reprogramming,Host_takeover_interference,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad host takeover / host physiology interference term; retained as parent-only support bucket in v1.0.2.,1
2OG-Fe(II) oxygenase,2OG-Fe(II) oxygenase,2788,0.1096,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
phosphatase,phosphatase,2579,0.1014,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
nucleotidyltransferase,nucleotidyltransferase,3010,0.1184,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
anti-termination protein Q-like,anti-termination protein Q-like,687,0.027,parent_only,Gene_expression_reprogramming,Transcription_factor,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad transcription-control term; kept as parent-only scaffold. Consider subtype_hint = generic_tf / antitermination / sigma_reprogramming during training analysis.,1
recombinase,recombinase,689,0.0271,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
beta-glucosyl-HMC-alpha-glucosyltransferase,beta-glucosyl-HMC-alpha-glucosyltransferase,540,0.0212,parent_only,Genome_maintenance_propagation,DNA_modification,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
NinI-like serine-threonine phosphatase,NinI-like serine-threonine phosphatase,543,0.0214,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
NinG/ Rap DNA junction specific endonuclease,NinG/ Rap DNA junction specific endonuclease,550,0.0216,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
cytidyltransferase,cytidyltransferase,558,0.0219,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
DNA topoisomerase II large subunit,DNA topoisomerase II large subunit,570,0.0224,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
ferredoxin oxidoreductase,ferredoxin oxidoreductase,26,0.001,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
RNA 2'-phosphotransferase,RNA 2'-phosphotransferase,27,0.0011,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
HAD-superfamily hydrolase,HAD-superfamily hydrolase,27,0.0011,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
