annotation_raw,annotation_normalized,protein_count,percent,current_status,candidate_level1,candidate_level2,candidate_level3,reason_not_assigned,review_priority,needs_multimodal_evidence,promotion_evidence,family_consistency,embedding_cluster_id,structure_support,neighborhood_support,suggested_next_action,reviewer,review_date,notes
galactosyl transferase,galactosyl transferase,591,0.0232,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
phosphoheptose isomerase,phosphoheptose isomerase,588,0.0231,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
metal-dependent phosphohydrolase,metal-dependent phosphohydrolase,578,0.0227,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
Ig domain containing protein,Ig domain containing protein,574,0.0226,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
metal-dependent hydrolase,metal-dependent hydrolase,515,0.0203,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
regulator of chromosome condensation,regulator of chromosome condensation,473,0.0186,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
glycerophosphoryl diester phosphodiesterase,glycerophosphoryl diester phosphodiesterase,450,0.0177,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
protease,protease,443,0.0174,defer,Host_cell_exit,Host_cell_exit_broad,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold
Panton-Valentine leukocicin,Panton-Valentine leukocicin,424,0.0167,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node
FtsK/SpoIIIE-like protein,FtsK/SpoIIIE-like protein,400,0.0157,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
CRISPR/Cas system associated,CRISPR/Cas system associated,396,0.0156,defer,Host_interface_entry,Host_defense_counterdefense,,associated-only wording; insufficient evidence for stable L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,review with context and structure before assigning any L3,,,Associated-only wording is too weak for Anti_CRISPR; kept under Host_defense_counterdefense but deferred.
dGTPase inhibitor; target for F exclusion,dGTPase inhibitor; target for F exclusion,381,0.015,defer,Host_interface_entry,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,target for exclusion is not itself a confident exclusion factor
methylamine utilization,methylamine utilization,381,0.015,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
dATP / dGTP pyrophosphohydrolase,dATP / dGTP pyrophosphohydrolase,379,0.0149,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
polymerase,polymerase,376,0.0148,defer,Genome_maintenance_propagation,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
ribosome associated inhibitor A; zinc finger domain,ribosome associated inhibitor A; zinc finger domain,367,0.0144,defer,,,,associated-only wording; insufficient evidence for stable L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,review with context and structure before assigning any L3,,,no stable v1.1 mapping rule matched; manual review still needed
Lsr2-like DNA bridging protein,Lsr2-like DNA bridging protein,327,0.0129,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
mobile element MPME,mobile element MPME,326,0.0128,defer,Lifestyle_commitment_switching,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node
virulence associated,virulence associated,315,0.0124,defer,,,,associated-only wording; insufficient evidence for stable L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,review with context and structure before assigning any L3,,,weakly resolved mobile / host-associated term; no stable v1.1 node
Phd-like antitoxin,Phd-like antitoxin,312,0.0123,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node
plasmid stability,plasmid stability,311,0.0122,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
histidyl tRNA synthetase,histidyl tRNA synthetase,302,0.0119,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
hol-like chemotaxis,hol-like chemotaxis,296,0.0116,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
upper collar connector,upper collar connector,292,0.0115,defer,Virion_morphogenesis,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
dGTPase inhibitor,dGTPase inhibitor,288,0.0113,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
Mom-like DNA modification protein,Mom-like DNA modification protein,282,0.0111,defer,Genome_maintenance_propagation,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
ParA-like partition protein,ParA-like partition protein,279,0.011,defer,Lifestyle_commitment_switching,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node
QueD-like  6-pyruvoyl-tetrahydropterin synthase,QueD-like  6-pyruvoyl-tetrahydropterin synthase,264,0.0104,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
PnuC-like nicotinamide mononucleotide transport,PnuC-like nicotinamide mononucleotide transport,264,0.0104,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
released from the phage upon host infection,released from the phage upon host infection,262,0.0103,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
partition protein,partition protein,261,0.0103,defer,Lifestyle_commitment_switching,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node
Hsp20 heat shock protein,Hsp20 heat shock protein,252,0.0099,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
aminotransferase,aminotransferase,250,0.0098,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
RF-1 domain peptide chain release factor,RF-1 domain peptide chain release factor,247,0.0097,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
enoyl-CoA hydratase/carnithine racemase-like,enoyl-CoA hydratase/carnithine racemase-like,244,0.0096,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
nicking at origin of replication,nicking at origin of replication,239,0.0094,defer,Genome_maintenance_propagation,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
tail protease,tail protease,238,0.0094,defer,Host_cell_exit,Host_cell_exit_broad,,currently insufficient evidence or unstable boundary for L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold
L-glutamine-D-fructose-6-phosphate aminotransferase,L-glutamine-D-fructose-6-phosphate aminotransferase,238,0.0094,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
lysM motif protein,lysM motif protein,237,0.0093,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
collagen like minor tail,collagen like minor tail,237,0.0093,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
membrane-flanked domain,membrane-flanked domain,234,0.0092,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
carboxypeptidase,carboxypeptidase,234,0.0092,defer,Host_cell_exit,Peptidoglycan_degradation,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold
adaptor Ad4,adaptor Ad4,232,0.0091,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
ABC transporter,ABC transporter,231,0.0091,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
recombination directionality factor,recombination directionality factor,230,0.009,defer,Lifestyle_commitment_switching,Integration_excision_control,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
histone family DNA-binding,histone family DNA-binding,227,0.0089,defer,Gene_expression_reprogramming,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
tellurite resistance,tellurite resistance,226,0.0089,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
toxin-antitoxin system HicB-like,toxin-antitoxin system HicB-like,222,0.0087,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node
ribosomal protein S6 glutaminyl transferase,ribosomal protein S6 glutaminyl transferase,219,0.0086,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
nucloid associated Lsr2-like,nucloid associated Lsr2-like,218,0.0086,defer,,,,associated-only wording; insufficient evidence for stable L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,review with context and structure before assigning any L3,,,no stable v1.1 mapping rule matched; manual review still needed
esterase/lipase,esterase/lipase,217,0.0085,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
tail needle knob,tail needle knob,217,0.0085,defer,Virion_morphogenesis,,,currently insufficient evidence or unstable boundary for L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
phosphoribosyl transferase,phosphoribosyl transferase,217,0.0085,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
cAMP phosphodiesterase,cAMP phosphodiesterase,217,0.0085,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
tail associated cell-wall hydrolase,tail associated cell-wall hydrolase,214,0.0084,defer,Virion_morphogenesis,,,associated-only wording; insufficient evidence for stable L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,review with context and structure before assigning any L3,,,no stable v1.1 mapping rule matched; manual review still needed
DNA invertase,DNA invertase,214,0.0084,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
lectin,lectin,209,0.0082,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
ferredoxin,ferredoxin,206,0.0081,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
gamma-glutamyl cyclotransferase,gamma-glutamyl cyclotransferase,198,0.0078,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
colanic acid degradation,colanic acid degradation,196,0.0077,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
DNA sliding clamp inhibitor; arrest of S.aureus DNA synthesis,DNA sliding clamp inhibitor; arrest of S.aureus DNA synthesis,187,0.0074,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
L-alanyl-D-glutamate peptidase,L-alanyl-D-glutamate peptidase,187,0.0074,defer,Host_cell_exit,Peptidoglycan_degradation,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold
metallo-endopeptidase,metallo-endopeptidase,185,0.0073,defer,Host_cell_exit,Peptidoglycan_degradation,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold
Zot-like toxin,Zot-like toxin,184,0.0072,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node
scaffolding protein,scaffolding protein,184,0.0072,defer,Virion_morphogenesis,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
ParB C-terminal domain,ParB C-terminal domain,182,0.0072,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
protein with Ig domain,protein with Ig domain,181,0.0071,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
tail chaperonin,tail chaperonin,175,0.0069,defer,Virion_morphogenesis,,,currently insufficient evidence or unstable boundary for L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
dCTP deaminase,dCTP deaminase,175,0.0069,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
abc2 anti-RecBCD,abc2 anti-RecBCD,170,0.0067,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
nucleotide-sugar epimerase,nucleotide-sugar epimerase,170,0.0067,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
nuclear shell protein,nuclear shell protein,169,0.0066,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
GTP cyclohydrolase,GTP cyclohydrolase,168,0.0066,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
replication protein,replication protein,166,0.0065,defer,Genome_maintenance_propagation,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
phosphohydrolase,phosphohydrolase,166,0.0065,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
ribulose-1;5-bisphosphate carboxylase/oxygenase small subunit,ribulose-1;5-bisphosphate carboxylase/oxygenase small subunit,164,0.0064,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
antimicrobial peptide resistance and lipid A acylation protein PagP,antimicrobial peptide resistance and lipid A acylation protein PagP,163,0.0064,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
replisome organizer,replisome organizer,163,0.0064,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
co-chaperonin GroES,co-chaperonin GroES,161,0.0063,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
RecA filament binding protein DinI,RecA filament binding protein DinI,160,0.0063,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
transcription factor,transcription factor,159,0.0063,defer,Gene_expression_reprogramming,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
tubulin PhuZ,tubulin PhuZ,159,0.0063,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
nicotinamide-nucleotide adenylyltransferase,nicotinamide-nucleotide adenylyltransferase,159,0.0063,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
